gamma,tdxy,zdamping,nbadballs
0.25,1.2000000000000002,0.2,616
0.25,1.2000000000000002,0.30000000000000004,607
0.25,1.2000000000000002,0.4,606
0.25,1.2000000000000002,0.5,603
0.25,1.2000000000000002,0.6000000000000001,605
0.25,1.2000000000000002,0.7000000000000001,602
0.25,1.2000000000000002,0.8,600
0.25,1.2000000000000002,0.9,600
0.25,1.2000000000000002,1.0,601
0.25,1.2000000000000002,1.1,597
0.25,1.2000000000000002,1.2000000000000002,597
0.25,1.2000000000000002,1.3,602
0.25,1.2000000000000002,1.4000000000000001,598
0.25,1.2000000000000002,1.5,597
0.25,1.2000000000000002,1.6,597
0.25,1.2000000000000002,1.7000000000000002,595
0.25,1.2000000000000002,1.8,596
0.25,1.2000000000000002,1.9000000000000001,595
0.25,1.2000000000000002,2.0,600
0.25,1.3,0.1,623
0.25,1.3,0.2,617
0.25,1.3,0.30000000000000004,611
0.25,1.3,0.4,609
0.25,1.3,0.5,606
0.25,1.3,0.6000000000000001,606
0.25,1.3,0.7000000000000001,604
0.25,1.3,0.8,602
0.25,1.3,0.9,602
0.25,1.3,1.0,601
0.25,1.3,1.1,596
0.25,1.3,1.2000000000000002,601
0.25,1.3,1.3,598
0.25,1.3,1.4000000000000001,601
0.25,1.3,1.5,598
0.25,1.3,1.6,597
0.25,1.3,1.7000000000000002,597
0.25,1.3,1.8,602
0.25,1.3,1.9000000000000001,600
0.25,1.3,2.0,599
0.25,1.4000000000000001,0.1,623
0.25,1.4000000000000001,0.2,618
0.25,1.4000000000000001,0.30000000000000004,612
0.25,1.4000000000000001,0.4,609
0.25,1.4000000000000001,0.5,608
0.25,1.4000000000000001,0.6000000000000001,606
0.25,1.4000000000000001,0.7000000000000001,603
0.25,1.4000000000000001,0.8,600
0.25,1.4000000000000001,0.9,600
0.25,1.4000000000000001,1.0,599
0.25,1.4000000000000001,1.1,601
0.25,1.4000000000000001,1.2000000000000002,603
0.25,1.4000000000000001,1.3,602
0.25,1.4000000000000001,1.4000000000000001,599
0.25,1.4000000000000001,1.5,601
0.25,1.4000000000000001,1.6,598
0.25,1.4000000000000001,1.7000000000000002,599
0.25,1.4000000000000001,1.8,601
0.25,1.4000000000000001,1.9000000000000001,599
0.25,1.4000000000000001,2.0,605
0.25,1.5,0.1,623
0.25,1.5,0.2,621
0.25,1.5,0.30000000000000004,617
0.25,1.5,0.4,608
0.25,1.5,0.5,608
0.25,1.5,0.6000000000000001,606
0.25,1.5,0.7000000000000001,607
0.25,1.5,0.8,601
0.25,1.5,0.9,599
0.25,1.5,1.0,604
0.25,1.5,1.1,605
0.25,1.5,1.2000000000000002,600
0.25,1.5,1.3,601
0.25,1.5,1.4000000000000001,602
0.25,1.5,1.5,603
0.25,1.5,1.6,601
0.25,1.5,1.7000000000000002,602
0.25,1.5,1.8,601
0.25,1.5,1.9000000000000001,602
0.25,1.5,2.0,605
0.25,1.6,0.1,623
0.25,1.6,0.2,622
0.25,1.6,0.30000000000000004,617
0.25,1.6,0.4,609
0.25,1.6,0.5,610
0.25,1.6,0.6000000000000001,608
0.25,1.6,0.7000000000000001,608
0.25,1.6,0.8,605
0.25,1.6,0.9,605
0.25,1.6,1.0,604
0.25,1.6,1.1,602
0.25,1.6,1.2000000000000002,604
0.25,1.6,1.3,603
0.25,1.6,1.4000000000000001,600
0.25,1.6,1.5,599
0.25,1.6,1.6,606
0.25,1.6,1.7000000000000002,604
0.25,1.6,1.8,605
0.25,1.6,1.9000000000000001,604
0.25,1.6,2.0,602
0.25,1.7000000000000002,0.1,624
0.25,1.7000000000000002,0.2,622
0.25,1.7000000000000002,0.30000000000000004,618
0.25,1.7000000000000002,0.4,611
0.25,1.7000000000000002,0.5,610
0.25,1.7000000000000002,0.6000000000000001,611
0.25,1.7000000000000002,0.7000000000000001,607
0.25,1.7000000000000002,0.8,606
0.25,1.7000000000000002,0.9,605
0.25,1.7000000000000002,1.0,608
0.25,1.7000000000000002,1.1,605
0.25,1.7000000000000002,1.2000000000000002,604
0.25,1.7000000000000002,1.3,603
0.25,1.7000000000000002,1.4000000000000001,607
0.25,1.7000000000000002,1.5,605
0.25,1.7000000000000002,1.6,605
0.25,1.7000000000000002,1.7000000000000002,604
0.25,1.7000000000000002,1.8,606
0.25,1.7000000000000002,1.9000000000000001,608
0.25,1.7000000000000002,2.0,607
0.25,1.8,0.1,624
0.25,1.8,0.2,621
0.25,1.8,0.30000000000000004,618
0.25,1.8,0.4,613
0.25,1.8,0.5,614
0.25,1.8,0.6000000000000001,611
0.25,1.8,0.7000000000000001,610
0.25,1.8,0.8,609
0.25,1.8,0.9,607
0.25,1.8,1.0,605
0.25,1.8,1.1,605
0.25,1.8,1.2000000000000002,604
0.25,1.8,1.3,606
0.25,1.8,1.4000000000000001,607
0.25,1.8,1.5,606
0.25,1.8,1.6,608
0.25,1.8,1.7000000000000002,606
0.25,1.8,1.8,608
0.25,1.8,1.9000000000000001,607
0.25,1.8,2.0,607
0.25,1.9000000000000001,0.1,625
0.25,1.9000000000000001,0.2,621
0.25,1.9000000000000001,0.30000000000000004,618
0.25,1.9000000000000001,0.4,612
0.25,1.9000000000000001,0.5,611
0.25,1.9000000000000001,0.6000000000000001,612
0.25,1.9000000000000001,0.7000000000000001,608
0.25,1.9000000000000001,0.8,609
0.25,1.9000000000000001,0.9,606
0.25,1.9000000000000001,1.0,607
0.25,1.9000000000000001,1.1,610
0.25,1.9000000000000001,1.2000000000000002,607
0.25,1.9000000000000001,1.3,606
0.25,1.9000000000000001,1.4000000000000001,606
0.25,1.9000000000000001,1.5,607
0.25,1.9000000000000001,1.6,608
0.25,1.9000000000000001,1.7000000000000002,610
0.25,1.9000000000000001,1.8,607
0.25,1.9000000000000001,1.9000000000000001,609
0.25,1.9000000000000001,2.0,610
0.25,2.0,0.1,626
0.25,2.0,0.2,623
0.25,2.0,0.30000000000000004,621
0.25,2.0,0.4,614
0.25,2.0,0.5,611
0.25,2.0,0.6000000000000001,612
0.25,2.0,0.7000000000000001,613
0.25,2.0,0.8,610
0.25,2.0,0.9,610
0.25,2.0,1.0,607
0.25,2.0,1.1,607
0.25,2.0,1.2000000000000002,609
0.25,2.0,1.3,609
0.25,2.0,1.4000000000000001,607
0.25,2.0,1.5,611
0.25,2.0,1.6,609
0.25,2.0,1.7000000000000002,608
0.25,2.0,1.8,606
0.25,2.0,1.9000000000000001,608
0.25,2.0,2.0,609
0.5,0.1,0.1,577
0.5,0.1,0.2,560
